Section,Field_AR,Field_EN,Value,Status,Classification,Notes
"ADAA KPIs","BASELINEDATAAVAILABLEDATE","BASELINEDATAAVAILABLEDATE","","متوفر","عام","تاريخ توفر خط الأساس"
"ADAA KPIs","NOTES_AR","NOTES_AR","","متوفر","عام","ملاحظات بالعربية"
"ADAA KPIs","ADAA_COMMENTS_AR","ADAA_COMMENTS_AR","","متوفر","داخلي","تعليقات أداء بالعربية"
"ADAA KPIs","ISNUMERIC","ISNUMERIC","","متوفر","عام","علم رقمي (0/1)"
"ADAA KPIs","DESCRIPTION_EN","DESCRIPTION_EN","","متوفر","عام","الوصف بالإنجليزية"
"ADAA KPIs","DESCRIPTION_AR","DESCRIPTION_AR","","متوفر","عام","الوصف بالعربية"
"ADAA KPIs","CUSTOMFREQUENCYEN","CUSTOMFREQUENCYEN","","متوفر","عام","التكرار المخصص انجليزي"
"ADAA KPIs","CUSTOMFREQUENCYAR","CUSTOMFREQUENCYAR","","متوفر","عام","التكرار المخصص عربي"
"ADAA KPIs","KPIID","KPIID","","متوفر","عام","معرف المؤشر (مكرر)"
"ADAA KPIs","BANDINGID","BANDINGID","","متوفر","عام","نطاق التقييم (1 أو 2)"
"ADAA KPIs","OBJECTIVEID","OBJECTIVEID","","متوفر","عام","معرف الهدف"
"ADAA KPIs","Is Numeric","Is Numeric","","متوفر","عام","رقمي (مكرر مع ISNUMERIC)"
"ADAA KPIs","Is Measure","Is Measure","","متوفر","عام","علم المقياس (ثابت 0)"
"ADAA KPIs","OWNER","OWNER","","متوفر","عام","المالك"
"ADAA KPIs","IsPriority","IsPriority","","متوفر","عام","أولوية"
"ADAA KPIs","FEATURED","FEATURED","","متوفر","عام","مميّز"
"ADAA KPIs","Is Baseline Compliant","Is Baseline Compliant","","متوفر","داخلي","امتثال خط الأساس"
"ADAA KPIs","Is KPI Formula Compliant","Is KPI Formula Compliant","","متوفر","داخلي","امتثال الصيغة"
"ADAA KPIs","Is KPI DataSource Compliant","Is KPI DataSource Compliant","","متوفر","داخلي","امتثال مصدر البيانات"
"ADAA KPIs","Is KPIs Compliant","Is KPIs Compliant","","متوفر","داخلي","امتثال عام للمؤشرات"
"ADAA KPIs","Is Regional Benchmarks Compliant","Is Regional Benchmarks Compliant","","متوفر","داخلي","امتثال المعايير الإقليمية"
"ADAA KPIs","Is International Benchmarks Compliant","Is International Benchmarks Compliant","","متوفر","داخلي","امتثال المعايير الدولية"
"ADAA KPIs","Is KPI Unit Compliant","Is KPI Unit Compliant","","متوفر","داخلي","امتثال الوحدة (ثابت 1)"
"ADAA KPIs","Is KPI Description Compliant","Is KPI Description Compliant","","متوفر","داخلي","امتثال الوصف"
"ADAA KPIs","Is KPI Targets Compliant","Is KPI Targets Compliant","","متوفر","داخلي","امتثال الأهداف (ثابت 1)"
"ADAA KPIs","Start Date","Start Date","","متوفر","عام","تاريخ البداية"
"ADAA KPIs","End Date","End Date","","متوفر","عام","تاريخ النهاية"
"ADAA KPIs","PROGRAMCODE","PROGRAMCODE","","متوفر","عام","كود البرنامج"
"ADAA KPIs","PROGRAMNAMEAR","PROGRAMNAMEAR","","متوفر","عام","اسم البرنامج بالعربية"
"ADAA KPIs","PROGRAMNAMEEN","PROGRAMNAMEEN","","متوفر","عام","اسم البرنامج بالإنجليزية"
"ADAA KPIs","L3_OBJV_CD","L3_OBJV_CD","","متوفر","عام","كود الهدف المستوى 3"
"ADAA KPIs","L3_OBJV_NAME_AR","L3_OBJV_NAME_AR","","متوفر","عام","اسم الهدف المستوى 3"
"ADAA KPIs","POLARITY","POLARITY","","متوفر","عام","قطبية الأداء (+/-/||)"
"ADAA KPIs","INTERNATIONALCOUNTRYAR","INTERNATIONALCOUNTRYAR","","متوفر","عام","الدولة المرجعية الدولية"
"ADAA KPIs","INTERNATIONALCOUNTRYEN","INTERNATIONALCOUNTRYEN","","متوفر","عام","الدولة المرجعية بالإنجليزية"
"ADAA KPIs","INTERNATIONALSOURCEAR","INTERNATIONALSOURCEAR","","متوفر","عام","المصدر الدولي بالعربية"
"ADAA KPIs","INTERNATIONALSOURCEEN","INTERNATIONALSOURCEEN","","متوفر","عام","المصدر الدولي بالإنجليزية"
"ADAA KPIs","INTERNATIONALYEAR","INTERNATIONALYEAR","","متوفر","عام","سنة المقارنة الدولية"
"ADAA KPIs","INTERNATIONALVALUE","INTERNATIONALVALUE","","متوفر","عام","قيمة المقارنة الدولية"
"ADAA KPIs","REGIONALCOUNTRYAR","REGIONALCOUNTRYAR","","متوفر","عام","الدولة الإقليمية بالعربية"
"ADAA KPIs","REGIONALCOUNTRYEN","REGIONALCOUNTRYEN","","متوفر","عام","الدولة الإقليمية بالإنجليزية"
"ADAA KPIs","REGIONALSOURCEAR","REGIONALSOURCEAR","","متوفر","عام","المصدر الإقليمي بالعربية"
"ADAA KPIs","REGIONALSOURCEEN","REGIONALSOURCEEN","","متوفر","عام","المصدر الإقليمي بالإنجليزية"
"ADAA KPIs","REGIONALYEAR","REGIONALYEAR","","متوفر","عام","سنة المقارنة الإقليمية"
"ADAA KPIs","REGIONALVALUE","REGIONALVALUE","","متوفر","عام","قيمة المقارنة الإقليمية"
"ADAA KPIs","STRG_NAME_AR","STRG_NAME_AR","","متوفر","عام","اسم الاستراتيجية (رؤية 2030)"
"ADAA KPIs","ALIGNMENT_TYPE","ALIGNMENT_TYPE","","متوفر","عام","نوع الارتباط (Primary)"
"ADAA KPIs","REPORTING_PERIOD","REPORTING_PERIOD","","متوفر","عام","فترة التقرير (Q1-Q4)"
"ADAA KPIs","REPORTINGYEAR","REPORTINGYEAR","","متوفر","عام","سنة التقرير"
"ADAA KPIs","PRSTATUS","PRSTATUS","","متوفر","داخلي","حالة التقرير (Green/Amber/Red)"
"ADAA KPIs","ISACTUALDATAPOINT","ISACTUALDATAPOINT","","متوفر","عام","نقطة بيانات فعلية (ثابت 1)"
"ADAA KPIs","TREND","TREND","","متوفر","عام","الاتجاه (up/down/no changes)"
"ADAA KPIs","TARGET2020","TARGET2020","","متوفر","عام","هدف 2020"
"ADAA KPIs","ACTUAL","ACTUAL","","متوفر","داخلي","القيمة الفعلية"
"ADAA KPIs","TARGET","TARGET","","متوفر","داخلي","القيمة المستهدفة"
"ADAA KPIs","REPORTING_PERIOD_EN","REPORTING_PERIOD_EN","","متوفر","عام","الفترة بالإنجليزية"
"ADAA KPIs","REPORTING_PERIOD_AR","REPORTING_PERIOD_AR","","متوفر","عام","الفترة بالعربية"
"ADAA KPIs","FORMATTEDACTUALAR","FORMATTEDACTUALAR","","متوفر","عام","الفعلي منسق بالعربية"
"ADAA KPIs","FORMATTEDTARGETEN","FORMATTEDTARGETEN","","متوفر","عام","الهدف منسق بالإنجليزية"
"ADAA KPIs","FORMATTEDTARGETAR","FORMATTEDTARGETAR","","متوفر","عام","الهدف منسق بالعربية"
"ADAA KPIs","FORMATTEDACTUALEN","FORMATTEDACTUALEN","","متوفر","عام","الفعلي منسق بالإنجليزية"
"ADAA KPIs","PERIOD","PERIOD","","متوفر","عام","نوع الفترة (YEAR/QUARTER/MONTH)"
"ADAA KPIs","PERIODYEAR","PERIODYEAR","","متوفر","عام","سنة الفترة"
"ADAA KPIs","BASICSCORE","BASICSCORE","","متوفر","داخلي","الدرجة الأساسية"
"ADAA KPIs","SCORE","SCORE","","متوفر","داخلي","الدرجة"
"ADAA KPIs","رمز الهدف التابع للمستوى الأول","L1 Objective Code","","متوفر","عام","كود هدف L1"
"ADAA KPIs","اسم الهدف التابع للمستوى الأول","L1 Objective Name","","متوفر","عام","اسم هدف L1 بالعربية"
"ADAA KPIs","رمز الهدف التابع للمستوى الثاني","L2 Objective Code","","متوفر","عام","كود هدف L2"
"ADAA KPIs","اسم الهدف التابع للمستوى الثاني","L2 Objective Name","","متوفر","عام","اسم هدف L2 بالعربية"
"ADAA KPIs","رمز الهدف التابع للمستوى الرابع","L4 Objective Code","","متوفر","عام","كود هدف L4"
"ADAA KPIs","اسم الهدف المستوى الرابع","L4 Objective Name","","متوفر","عام","اسم هدف L4 بالعربية"
"ADAA KPIs","reason_late","reason_late","","متوفر","داخلي","سبب التأخر (na)"
"ADAA KPIs","DOCUMENTVALIDATED","DOCUMENTVALIDATED","","متوفر","داخلي","توثيق (0.1 أو 1.0)"
"ADAA KPIs","KPI_CARD_UPDATED_STATUS","KPI_CARD_UPDATED_STATUS","","متوفر","داخلي","حالة بطاقة KPI (na)"
"ADAA KPIs","CARD_UPDATED_STATUS_DETAILS","CARD_UPDATED_STATUS_DETAILS","","متوفر","داخلي","تفاصيل حالة البطاقة (na)"
"ADAA KPIs","pre_status","pre_status","","متوفر","داخلي","الحالة السابقة (Gray/Green)"
"ADAA KPIs","gastat","gastat","","متوفر","عام","جهاز الإحصاء (0)"
"ADAA KPIs","challenge_classification","challenge_classification","","متوفر","داخلي","تصنيف التحدي"
"ADAA KPIs","period_key","period_key","","متوفر","عام","مفتاح الفترة المشتق"
"ADAA KPIs","variance","variance","","متوفر","داخلي","الانحراف (ACTUAL-TARGET)"
"ADAA KPIs","variance_pct","variance_pct","","متوفر","داخلي","نسبة الانحراف %"
"ADAA KPIs","status_normalized","status_normalized","","متوفر","داخلي","الحالة المطبّعة"
"ADAA KPIs","source_filename/sheet/extracted_at/job_id","source_filename/sheet/extracted_at/job_id","","متوفر","عام","حقول التتبع والـ Lineage"
"ADAA Initiatives","INIV_CODE","INIV_CODE","","متوفر","عام","كود المبادرة (المفتاح الرئيسي)"
"ADAA Initiatives","ENTITY_CODE","ENTITY_CODE","","متوفر","عام","كود الجهة المنفذة"
"ADAA Initiatives","ENTITY_NAMEAR","ENTITY_NAMEAR","","متوفر","عام","اسم الجهة بالعربية"
"ADAA Initiatives","ENTITY_NAMEEN","ENTITY_NAMEEN","","متوفر","عام","اسم الجهة بالإنجليزية"
"ADAA Initiatives","INITIATIVE_NAME_AR","INITIATIVE_NAME_AR","","متوفر","عام","اسم المبادرة بالعربية"
"ADAA Initiatives","INITIATIVE_NAME_EN","INITIATIVE_NAME_EN","","متوفر","عام","اسم المبادرة بالإنجليزية"
"ADAA Initiatives","ACTUAL_PROGRESS","ACTUAL_PROGRESS","","متوفر","داخلي","نسبة التقدم الفعلي %"
"ADAA Initiatives","PLANNED_PROGRESS","PLANNED_PROGRESS","","متوفر","داخلي","نسبة التقدم المخطط %"
"ADAA Initiatives","EPM_STATUS","EPM_STATUS","","متوفر","داخلي","حالة نظام EPM"
"ADAA Initiatives","ISSTARTED","ISSTARTED","","متوفر","عام","بدأت؟ (true/false)"
"ADAA Initiatives","IS_VERIFIED","IS_VERIFIED","","متوفر","داخلي","مُتحقق؟ (true/false)"
"ADAA Initiatives","BUDGET_1000SAR","BUDGET_1000SAR","","متوفر","سري","الميزانية بالألف ريال"
"ADAA Initiatives","OBJECTIVE_CODE","OBJECTIVE_CODE","","متوفر","عام","كود الهدف"
"ADAA Initiatives","OBJECTIVE_NAMEAR","OBJECTIVE_NAMEAR","","متوفر","عام","اسم الهدف بالعربية"
"ADAA Initiatives","OBJECTIVE_NAMEEN","OBJECTIVE_NAMEEN","","متوفر","عام","اسم الهدف بالإنجليزية"
"ADAA Initiatives","INIV_DESCRIPTIONAR","INIV_DESCRIPTIONAR","","متوفر","عام","وصف المبادرة بالعربية"
"ADAA Initiatives","INIV_DESCRIPTIONEN","INIV_DESCRIPTIONEN","","متوفر","عام","وصف المبادرة بالإنجليزية"
"ADAA Initiatives","STATUS_DATE","STATUS_DATE","","متوفر","عام","تاريخ الحالة"
"ADAA Initiatives","PLANNED_STARTDATE","PLANNED_STARTDATE","","متوفر","عام","تاريخ البداية المخططة"
"ADAA Initiatives","PLANNED_FINISHDATE","PLANNED_FINISHDATE","","متوفر","عام","تاريخ النهاية المخططة"
"ADAA Initiatives","ACTUAL_STARTDATE","ACTUAL_STARTDATE","","متوفر","داخلي","تاريخ البداية الفعلية"
"ADAA Initiatives","ACTUAL_FINISHDATE","ACTUAL_FINISHDATE","","متوفر","داخلي","تاريخ النهاية الفعلية"
"ADAA Initiatives","ISONHOLD","ISONHOLD","","متوفر","داخلي","معلّقة؟ (true/false)"
"ADAA Initiatives","REPORTING_PERIOD","REPORTING_PERIOD","","متوفر","عام","فترة التقرير (Q1-Q4/شهري)"
"ADAA Initiatives","REPORTINGYEAR","REPORTINGYEAR","","متوفر","عام","سنة التقرير"
"ADAA Initiatives","PROGRAMCODE","PROGRAMCODE","","متوفر","عام","كود البرنامج"
"ADAA Initiatives","PROGRAMNAMEAR","PROGRAMNAMEAR","","متوفر","عام","اسم البرنامج بالعربية"
"ADAA Initiatives","PROGRAMNAMEEN","PROGRAMNAMEEN","","متوفر","عام","اسم البرنامج بالإنجليزية"
"ADAA Initiatives","L3_OBJV_CD","L3_OBJV_CD","","متوفر","عام","كود الهدف المستوى 3"
"ADAA Initiatives","L3_OBJV_NAME_AR","L3_OBJV_NAME_AR","","متوفر","عام","اسم الهدف المستوى 3"
"ADAA Initiatives","UIC","UIC","","متوفر","عام","معرف فريد للمبادرة"
"ADAA Initiatives","IS_IMPERATIVE_FLG","IS_IMPERATIVE_FLG","","متوفر","عام","حتمية؟ (true/false)"
"ADAA Initiatives","HAS_CARD","HAS_CARD","","متوفر","عام","لها بطاقة؟ (true/false)"
"ADAA Initiatives","FUNDING_STATUS","FUNDING_STATUS","","متوفر","سري","حالة التمويل"
"ADAA Initiatives","INIT_OWNER_NAME_AR","INIT_OWNER_NAME_AR","","متوفر","عام","اسم مالك المبادرة"
"ADAA Initiatives","INIT_OWNER_POSITION_AR","INIT_OWNER_POSITION_AR","","متوفر","عام","مسمى مالك المبادرة"
"ADAA Initiatives","IS_RUH","IS_RUH","","متوفر","عام","منطقة الرياض"
"ADAA Initiatives","IS_MKH","IS_MKH","","متوفر","عام","منطقة مكة المكرمة"
"ADAA Initiatives","IS_MDN","IS_MDN","","متوفر","عام","منطقة المدينة المنورة"
"ADAA Initiatives","IS_QSM","IS_QSM","","متوفر","عام","منطقة القصيم"
"ADAA Initiatives","IS_EAP","IS_EAP","","متوفر","عام","المنطقة الشرقية"
"ADAA Initiatives","IS_TBK","IS_TBK","","متوفر","عام","منطقة تبوك"
"ADAA Initiatives","IS_ASR","IS_ASR","","متوفر","عام","منطقة عسير"
"ADAA Initiatives","IS_JAZ","IS_JAZ","","متوفر","عام","منطقة جازان"
"ADAA Initiatives","IS_NJN","IS_NJN","","متوفر","عام","منطقة نجران"
"ADAA Initiatives","IS_HAL","IS_HAL","","متوفر","عام","منطقة حائل"
"ADAA Initiatives","IS_NBR","IS_NBR","","متوفر","عام","منطقة الحدود الشمالية"
"ADAA Initiatives","IS_JWF","IS_JWF","","متوفر","عام","منطقة الجوف"
"ADAA Initiatives","IS_TUU","IS_TUU","","متوفر","عام","منطقة الباحة"
"ADAA Initiatives","STRG_NAME_AR","STRG_NAME_AR","","متوفر","عام","اسم الاستراتيجية بالعربية"
"ADAA Initiatives","ALIGNMENT_TYPE","ALIGNMENT_TYPE","","متوفر","عام","نوع الارتباط"
"ADAA Initiatives","period_key","period_key","","متوفر","عام","مفتاح الفترة المشتق"
"ADAA Initiatives","schedule_variance_pct","schedule_variance_pct","","متوفر","داخلي","انحراف الجدول %"
"ADAA Initiatives","duration_planned_days","duration_planned_days","","متوفر","داخلي","المدة المخططة بالأيام"
"ADAA Initiatives","duration_actual_days","duration_actual_days","","متوفر","داخلي","المدة الفعلية بالأيام"
"ADAA Initiatives","geo_coverage_count","geo_coverage_count","","متوفر","داخلي","عدد المناطق المغطاة"
"ADAA Initiatives","source_filename/sheet/extracted_at/job_id","source_filename/sheet/extracted_at/job_id","","متوفر","عام","حقول التتبع والـ Lineage"
"ADAA Outputs","Output ID","Output ID","","متوفر","عام","معرف المخرج"
"ADAA Outputs","Output Name","Output Name","","متوفر","عام","اسم المخرج بالإنجليزية"
"ADAA Outputs","Output Name(Ar)","Output Name(Ar)","","متوفر","عام","اسم المخرج بالعربية"
"ADAA Outputs","Parent ID","Parent ID","","متوفر","عام","يربط بكود المبادرة INIV_CODE"
"ADAA Outputs","Output Description","Output Description","","متوفر","عام","وصف المخرج بالإنجليزية"
"ADAA Outputs","Output Description(Ar)","Output Description(Ar)","","متوفر","عام","وصف المخرج بالعربية"
"ADAA Outputs","Start Date","Start Date","","متوفر","عام","تاريخ البداية"
"ADAA Outputs","End Date","End Date","","متوفر","عام","تاريخ النهاية"
"ADAA Outputs","Actual Start Date","Actual Start Date","","متوفر","داخلي","تاريخ البداية الفعلية"
"ADAA Outputs","Actual End Date","Actual End Date","","متوفر","داخلي","تاريخ النهاية الفعلية"
"ADAA Outputs","Supporting Documents Names","Supporting Documents Names","","متوفر","عام","أسماء الوثائق الداعمة"
"ADAA Outputs","MEASURE","MEASURE","","متوفر","عام","تعريف القياس"
"ADAA Outputs","PROBABILITY","PROBABILITY","","متوفر","داخلي","احتمال النجاح (0-1)"
"ADAA Outputs","WEIGHT","WEIGHT","","متوفر","داخلي","وزن المخرج (0-100%)"
"ADAA Outputs","FIXED_OP_ID","FIXED_OP_ID","","متوفر","عام","معرف ثابت إضافي"
"ADAA Outputs","Measure Target","Measure Target","","متوفر","داخلي","الهدف الكمي"
"ADAA Outputs","OUTPUT_WEIGHT_BUDGET","OUTPUT_WEIGHT_BUDGET","","متوفر","سري","وزن من الميزانية %"
"ADAA Outputs","OUTPUT_CLASSIFICATION_DESC_AR","OUTPUT_CLASSIFICATION_DESC_AR","","متوفر","عام","تصنيف المخرج (استراتيجيات/لوائح)"
"ADAA Outputs","MEASURE_OUTPUT_SUCCESS","MEASURE_OUTPUT_SUCCESS","","متوفر","داخلي","نجاح القياس"
"ADAA Outputs","STRG_NAME_AR","STRG_NAME_AR","","متوفر","عام","اسم الاستراتيجية بالعربية"
"ADAA Outputs","ALIGNMENT_TYPE","ALIGNMENT_TYPE","","متوفر","عام","نوع الارتباط"
"ADAA Outputs","output_progress_pct","output_progress_pct","","متوفر","داخلي","تقدم المخرج %"
"ADAA Outputs","schedule_variance_days","schedule_variance_days","","متوفر","داخلي","انحراف الجدول بالأيام"
"ADAA Outputs","weighted_contribution","weighted_contribution","","متوفر","داخلي","المساهمة الموزونة"
"ADAA Outputs","source_filename/sheet/extracted_at/job_id","source_filename/sheet/extracted_at/job_id","","متوفر","عام","حقول التتبع والـ Lineage"
"ADAA Milestones","Milestone ID","Milestone ID","","متوفر","عام","معرف المعلم"
"ADAA Milestones","Milestone Name","Milestone Name","","متوفر","عام","اسم المعلم بالإنجليزية"
"ADAA Milestones","Milestone Name(Ar)","Milestone Name(Ar)","","متوفر","عام","اسم المعلم بالعربية"
"ADAA Milestones","Milestone Description","Milestone Description","","متوفر","عام","وصف المعلم بالإنجليزية"
"ADAA Milestones","Milestone Description(Ar)","Milestone Description(Ar)","","متوفر","عام","وصف المعلم بالعربية"
"ADAA Milestones","Start Date","Start Date","","متوفر","عام","تاريخ البداية"
"ADAA Milestones","End Date","End Date","","متوفر","عام","تاريخ النهاية"
"ADAA Milestones","Actual Start Date","Actual Start Date","","متوفر","داخلي","تاريخ البداية الفعلية"
"ADAA Milestones","Actual End Date","Actual End Date","","متوفر","داخلي","تاريخ النهاية الفعلية"
"ADAA Milestones","Supporting Documents Names","Supporting Documents Names","","متوفر","عام","أسماء الوثائق الداعمة"
"ADAA Milestones","Equivalent Completion Percentage","Equivalent Completion Percentage","","متوفر","داخلي","نسبة الإنجاز المكافئة"
"ADAA Milestones","WEIGHT","WEIGHT","","متوفر","داخلي","وزن المعلم"
"ADAA Milestones","Initiative ID","Initiative ID","","متوفر","عام","معرف المبادرة (يربط بـ INIV_CODE)"
"ADAA Milestones","STRG_NAME_AR","STRG_NAME_AR","","متوفر","عام","اسم الاستراتيجية بالعربية"
"ADAA Milestones","ALIGNMENT_TYPE","ALIGNMENT_TYPE","","متوفر","عام","نوع الارتباط"
"ADAA Milestones","SNAPSHOT_YR","SNAPSHOT_YR","","متوفر","عام","سنة اللقطة"
"ADAA Milestones","SNAPSHOT_QTR","SNAPSHOT_QTR","","متوفر","عام","ربع اللقطة (Q1-Q4)"
"ADAA Milestones","snapshot_key","snapshot_key","","متوفر","عام","مفتاح اللقطة المشتق"
"ADAA Milestones","weighted_completion","weighted_completion","","متوفر","داخلي","الإنجاز الموزون"
"ADAA Milestones","is_on_time","is_on_time","","متوفر","داخلي","في الموعد؟ (true/false)"
"ADAA Milestones","source_filename/sheet/extracted_at/job_id","source_filename/sheet/extracted_at/job_id","","متوفر","عام","حقول التتبع والـ Lineage"
"PWT/NCGR Financials","Financial_ID","Financial_ID","","متوفر","سري","معرف السجل المالي"
"PWT/NCGR Financials","INIV_CODE","INIV_CODE","","متوفر","عام","رمز المبادرة للربط"
"PWT/NCGR Financials","RIGHT","RIGHT","","متوفر","عام","عمود تقني (Raw-only)"
"PWT/NCGR Financials","Program_Name","Program_Name","","متوفر","عام","اسم البرنامج"
"PWT/NCGR Financials","Owning_Entity","Owning_Entity","","متوفر","عام","الجهة المالكة"
"PWT/NCGR Financials","Initiative_Name_Ar","Initiative_Name_Ar","","متوفر","عام","اسم المبادرة بالعربية"
"PWT/NCGR Financials","Initiative_Desc","Initiative_Desc","","متوفر","عام","وصف المبادرة"
"PWT/NCGR Financials","Linked_Strategy_Goal","Linked_Strategy_Goal","","متوفر","عام","الهدف الاستراتيجي المرتبط"
"PWT/NCGR Financials","Start_Date","Start_Date","","متوفر","عام","تاريخ البداية"
"PWT/NCGR Financials","End_Date","End_Date","","متوفر","عام","تاريخ النهاية"
"PWT/NCGR Financials","Is_Imperative","Is_Imperative","","متوفر","عام","حتمية/غير حتمية"
"PWT/NCGR Financials","VRP_Program","VRP_Program","","متوفر","عام","برامج تحقيق الرؤية"
"PWT/NCGR Financials","Performance_Status","Performance_Status","","متوفر","داخلي","Green/Amber/Red"
"PWT/NCGR Financials","Actual_Progress","Actual_Progress","","متوفر","داخلي","التقدم الفعلي %"
"PWT/NCGR Financials","Planned_Progress","Planned_Progress","","متوفر","داخلي","التقدم المخطط %"
"PWT/NCGR Financials","Financial_Items_Flag","Financial_Items_Flag","","متوفر","سري","يوجد/لايوجد"
"PWT/NCGR Financials","Funding_Status_MTD","Funding_Status_MTD","","متوفر","سري","معتمدة/غير معتمدة/جزئية"
"PWT/NCGR Financials","Funding_Request_Status","Funding_Request_Status","","متوفر","سري","قيد الطلب/مرفوض/مقبول"
"PWT/NCGR Financials","Funding_Request_Cost","Funding_Request_Cost","","متوفر","سري","التكاليف المطلوبة"
"PWT/NCGR Financials","Achieved_Savings","Achieved_Savings","","متوفر","سري","الوفر المحقق"
"PWT/NCGR Financials","Total_Costs","Total_Costs","","متوفر","سري","التكاليف الإجمالية"
"PWT/NCGR Financials","Approved_Costs_MTD","Approved_Costs_MTD","","متوفر","سري","التكاليف المعتمدة الشهرية"
"PWT/NCGR Financials","Approved_Costs_Last_Minutes","Approved_Costs_Last_Minutes","","متوفر","سري","المعتمدة حتى آخر محضر"
"PWT/NCGR Financials","Total_Contracted","Total_Contracted","","متوفر","سري","إجمالي المتعاقد عليه"
"PWT/NCGR Financials","Disbursed_From_Contracts","Disbursed_From_Contracts","","متوفر","سري","المنصرف من العقود (اعتماد)"
"PWT/NCGR Financials","Remaining_Contracts_Not_Disbursed","Remaining_Contracts_Not_Disbursed","","متوفر","سري","المتبقي من العقود"
"PWT/NCGR Financials","Disbursed_Off_Contracts","Disbursed_Off_Contracts","","متوفر","سري","المنصرف خارج العقود"
"PWT/NCGR Financials","Total_Contracted_Incl_Off","Total_Contracted_Incl_Off","","متوفر","سري","شامل خارج العقود"
"PWT/NCGR Financials","Uncontracted_Costs","Uncontracted_Costs","","متوفر","سري","التكاليف غير المتعاقد عليها"
"PWT/NCGR Financials","Total_Disbursement","Total_Disbursement","","متوفر","سري","إجمالي المنصرف"
"PWT/NCGR Financials","Annual_Allocation_2024","Annual_Allocation_2024","","متوفر","سري","اعتمادات العام 2024"
"PWT/NCGR Financials","Disbursed_From_Allocation_2024","Disbursed_From_Allocation_2024","","متوفر","سري","المنصرف من اعتمادات 2024"
"PWT/NCGR Financials","Remaining_Allocation_2024","Remaining_Allocation_2024","","متوفر","سري","المتبقي من اعتمادات 2024"
